Bearing,Fault Diameter,DE,FE
Normal,0,-0.049650462,-0.096358182
Normal,0,-0.004380923,-0.119574545
Normal,0,-0.003337846,-0.112589091
Normal,0,0.002294769,-0.115465455
Normal,0,0.005841231,-0.137038182
Normal,0,-0.01356,-0.122656364
Normal,0,-0.047564308,-0.083825455
Normal,0,-0.120162462,0.005341818
Normal,0,-0.196098462,0.101905455
Normal,0,-0.217794462,0.108890909
Normal,0,-0.158130462,0.069032727
Normal,0,-0.060081231,-0.004314545
Normal,0,-0.004172308,-0.043761818
Normal,0,0.015646154,-0.044789091
Normal,0,0.020861538,-0.037187273
Normal,0,0.013351385,-0.026092727
Normal,0,0.008553231,-0.029790909
Normal,0,0.001251692,-0.006985455
Normal,0,-0.025451077,0.061636364
Normal,0,-0.084697846,0.153063636
Normal,0,-0.114529846,0.172787273
Normal,0,-0.080942769,0.141352727
Normal,0,-0.005841231,0.087729091
Normal,0,0.070512,0.030612727
Normal,0,0.083446154,0.033283636
Normal,0,0.060289846,0.047870909
Normal,0,0.042140308,0.033283636
Normal,0,0.050902154,-0.004930909
Normal,0,0.058203692,-0.015203636
Normal,0,0.011056615,0.005958182
Normal,0,-0.066548308,0.066361818
Normal,0,-0.131844923,0.110534545
Normal,0,-0.132470769,0.096152727
Normal,0,-0.063419077,0.054445455
Normal,0,0.021487385,-0.028147273
Normal,0,0.084072,-0.052596364
Normal,0,0.086575385,-0.02938
Normal,0,0.057995077,-0.01808
Normal,0,0.056952,-0.037803636
Normal,0,0.048190154,-0.088345455
Normal,0,0.005215385,-0.090194545
Normal,0,-0.070094769,-0.038009091
Normal,0,-0.143318769,0.040474545
Normal,0,-0.174819692,0.090605455
Normal,0,-0.154375385,0.087729091
Normal,0,-0.073432615,0.048898182
Normal,0,0.014185846,0.042529091
Normal,0,0.066339692,0.090194545
Normal,0,0.079065231,0.113205455
Normal,0,0.087827077,0.094098182
Normal,0,0.117867692,0.036365455
Normal,0,0.127672615,-0.003903636
Normal,0,0.079691077,0.037392727
Normal,0,-0.027745846,0.110123636
Normal,0,-0.118910769,0.152241818
Normal,0,-0.121622769,0.148132727
Normal,0,-0.045895385,0.089989091
Normal,0,0.051528,0.056294545
Normal,0,0.111192,0.086085455
Normal,0,0.132262154,0.127792727
Normal,0,0.137477538,0.174841818
Normal,0,0.143110154,0.156556364
Normal,0,0.162511385,0.078689091
Normal,0,0.154375385,0.069649091
Normal,0,0.080734154,0.103754545
Normal,0,-0.007092923,0.137654545
Normal,0,-0.043183385,0.151214545
Normal,0,-0.012934154,0.103754545
Normal,0,0.061541538,0.0678
Normal,0,0.114738462,0.075812727
Normal,0,0.113486769,0.100056364
Normal,0,0.079899692,0.127998182
Normal,0,0.055491692,0.110534545
Normal,0,0.063001846,0.025270909
Normal,0,0.066131077,-0.023627273
Normal,0,0.040262769,-0.008012727
Normal,0,-0.010848,0.029585455
Normal,0,-0.051110769,0.083209091
Normal,0,-0.022739077,0.062869091
Normal,0,0.063001846,0.016025455
Normal,0,0.118076308,0.001849091
Normal,0,0.112235077,0.012327273
Normal,0,0.066548308,0.057527273
Normal,0,0.028580308,0.0452
Normal,0,0.035464615,-0.026709091
Normal,0,0.047355692,-0.093892727
Normal,0,0.028997538,-0.123683636
Normal,0,-0.022947692,-0.090605455
Normal,0,-0.075101538,-0.013765455
Normal,0,-0.085532308,0.017669091
Normal,0,-0.026702769,-0.003903636
Normal,0,0.066548308,-0.014381818
Normal,0,0.139772308,-0.005136364
Normal,0,0.160842462,0.044583636
Normal,0,0.136434462,0.079305455
Normal,0,0.128507077,0.03842
Normal,0,0.126212308,-0.012943636
Normal,0,0.101804308,-0.019929091
Normal,0,0.02712,0.009450909
Normal,0,-0.069677538,0.074990909
Normal,0,-0.121205538,0.108685455
Normal,0,-0.098257846,0.061430909
Normal,0,-0.009804923,0.016847273
Normal,0,0.061332923,-0.009450909
Normal,0,0.068008615,0.028763636
Normal,0,0.026494154,0.102316364
Normal,0,0.002920615,0.106630909
Normal,0,0.028997538,0.073347273
Normal,0,0.058829538,0.019518182
Normal,0,0.038385231,0.007601818
Normal,0,-0.030666462,0.058554545
Normal,0,-0.087409846,0.095947273
Normal,0,-0.079273846,0.075607273
Normal,0,-0.006049846,0.020134545
Normal,0,0.074892923,-0.033489091
Normal,0,0.093876923,-0.038625455
Normal,0,0.045895385,0.015409091
Normal,0,-0.006467077,0.039241818
